                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.8074,                0.47373,                 1.0112,                0.97115,                0.94503,                0.98008,                0.81843,                0.68888,                0.33516,                0.92197,              0.0089902,              0.0089902,              0.0089902
                     53,                0.80007,                0.46934,                   1.01,                0.91706,                0.78098,                 0.8789,                0.61035,                 1.1357,                0.66259,                 1.1725,              0.0089704,              0.0089704,              0.0089704
                     54,                0.80016,                0.46963,                 1.0055,                0.97599,                0.91798,                0.97002,                0.80697,                0.68186,                0.35948,                0.91561,              0.0089506,              0.0089506,              0.0089506
                     55,                0.79747,                0.46828,                 1.0076,                0.95372,                0.88656,                0.95396,                0.77825,                0.75198,                0.41539,                0.95316,              0.0089308,              0.0089308,              0.0089308
                     56,                0.79491,                0.46024,                 1.0035,                0.94136,                0.87551,                0.94164,                0.74956,                0.79688,                 0.4495,                0.97757,               0.008911,               0.008911,               0.008911
                     57,                0.79114,                0.46299,                 1.0035,                0.93093,                0.85861,                0.93405,                0.72295,                0.86247,                0.49051,                 1.0163,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.7876,                0.46166,                 1.0009,                0.97013,                0.93523,                0.97366,                0.79746,                0.73059,                0.35206,                0.93608,              0.0088714,              0.0088714,              0.0088714
                     59,                0.78868,                0.45908,                 1.0011,                0.97706,                0.92909,                0.97706,                0.81988,                0.66835,                0.33245,                0.90856,              0.0088516,              0.0088516,              0.0088516
                     60,                0.78129,                0.45459,                  0.995,                0.96708,                0.93368,                0.97558,                0.81698,                0.68782,                0.34012,                0.92625,              0.0088318,              0.0088318,              0.0088318
                     61,                0.78298,                0.45574,                 1.0009,                0.96764,                0.91361,                 0.9684,                0.78447,                0.75546,                0.38619,                0.95995,               0.008812,               0.008812,               0.008812
                     62,                0.78164,                 0.4491,                0.99765,                0.89133,                0.80163,                  0.883,                0.65203,                0.98888,                0.62515,                  1.094,              0.0087922,              0.0087922,              0.0087922
                     63,                0.77504,                0.44725,                0.99219,                0.95998,                0.91274,                 0.9672,                0.79014,                0.72937,                0.37722,                0.94093,              0.0087724,              0.0087724,              0.0087724
                     64,                0.77054,                0.44686,                0.99607,                  0.973,                0.95332,                0.98441,                0.83941,                0.62754,                0.30812,                0.89859,              0.0087526,              0.0087526,              0.0087526
